,E_Mail,Label
10,"['360', '•', '“', '»', '·', '—', '39', '“', '✔', '»', '😀', '69', '”', '»', '→', '♦', '“', 'PDF', '39', '←', '16', '69', '›', '←', 'Cevap', 'Devamı', '9', '19', '26', '15', '●', '5', '82', '”', '4', '14', 'Devamı', 'Devamı', '»', '14', '73', '●', '23', '22', '←', '♥', '🙂', '72', '😀', '8', '2017', '🙂', '22', '5', 'PDF', 'Neden', '»', '›', '14', '·', 'PDF', '29', 'Yoksa', '…', '😀', '♦', 'Cevapları', 'İzlediğiniz', '2017', '13', '3', 'Devamı', '♥', '6', '•', '✓', '14', '16', '·', '›', '–', '♦', 'Download', '—', '→', '✔', '1', 'Devamı', '·', '27', '21', '›', 'PDF', 'Yoksa', '🙂', '»', '»', '18', '28', '→', '»', '″', '13', '17', '3', '17', '→', '♥', '•', '“', 'Devamı', '»', '·', '43', '16', '13', '•', '→', '–', '”', '→', '»', '29', 'Devamı', '”', '✔', 'Devamı', '24', 'Neden', '”', '😉', 'İzlediğiniz', '”', '»', '5', '»', '√', '»', '●', '•', '3', 'Devamı', '—', '12', '29', '“', 'Cevapları', '😊', '✓', '·', '»', '■', 'PDF', 'Home', '·', '→', 'Devamı', 'Devamı', 'Download', 'Mevlana', '»', '19', 'Home', '»', '›', '”', '—', '–', '♥', '7', '1', '😀', '5', '→', '—', '12', 'PDF', 'Devamı', '”', '›', '»', '😉', '♥', '82', 'Devamı', '√', '19', '15', 'Yoksa', 'Devamı', '»', '●', '“', '5', '·', '8', '21', '✔', '8', 'n', '»', '←', 'Download', '[UNK]', '»', '—', 'Yoksa', 'Devamı', '4', '22', '19', '—', '21', 'Download', '8', 'Download', '»', '—', '→', 'Devamı', '—', '•', '•', '1', '“', 'Devamı']",spam
11,"['·', '19', '”', '·', '—', 'PDF', '•', '”', 'PDF', '♥', '♥', '→', '►', '✔', '😀', '—', '›', 'Devamı', '■', '14', 'Devamı', 'Anasayfa', '♥', '—', '19', 'Download', '15', '·', '23', '12', '✔', 'Devamı', '27', 'Devamı', '4', '●', '»', '19', 'Yoksa', '•', '41', '19', 'Download', '”', 'Devamı', 'Haberler', 'Haberler', '—', '●', '74', 'Devamı', '»', '6', 'Devamı', 'Cevapları', '”', '”', '·', '·', '8', 'Devamı', '•', '23', 'Etiketler', 'Home', '§', '“', '23', 'Download', '►', 'Devamı', '→', '—', '21', '74', '[UNK]', '73', '»', '·', '🙂', '23', '2017', '72', '15', '·', '•', '•', '»', 'Download', '■', '→', '»', '3', 'Neden', '•', '♥', '—', '•', '•', 'Cevapları', 'PDF', 'Teşekkürler', '22', '·', '●', '25', '”', '✔', '22', 'Mevlana', '»', '–', 'PDF', 'Home', 'Download', '”', '…', '•', 'Devamı', 'Home', 'Devamı', '✔', '—', '✓', '•', 'PDF', 'Etiketler', '→', '“', '›', '←', '”', '12', '»', 'Devamı', 'Cevap', 'Selamlar', '9', '″', '36']",ham
12,"['11', 'Cevap', '7', '■', 'PDF', 'PDF', 'Download', '·', 'Neden', '11', '→', '🙂', '·', 'İzlediğiniz', '15', '♥', '✔', 'Download', 'Etiketler', 'Devamı', 'PDF', 'Neden', '🙂', '23', 'Devamı', '←', '→', '21', '69', 'Teşekkürler', 'Cevap', '8', 'Devamı', '🙂', '1', '73', 'Teşekkürler', '🙂', 'Mevlana', '♦', '»', 'Devamı', '16', '21', '2', '73', '”', 'PDF', '»', '14', '→', '”', '›', 'Devamı', '•', '1', 'Devamı', '√', '😀', 'Download', '·', '•', '§', '🙂', 'Ayrıca', '2', 'Devamı', '←', 'Devamı', 'PDF', '→', 'Download', 'PDF', 'Devamı', '[UNK]', 'Anasayfa', '←', '»']",ham
13,"['Yoksa', 'PDF', '•', '■', '›', '·', '←', '26', 'Devamı', '•', '•', 'PDF', '›', '→', '■', '82', 'Cevap', '9', '♥', '29', '”', '17', '»', '•', '4', 'Devamı', '27', 'Haberler', '»', 'PDF', '11', 'PDF', '–', '18', '😀', 'Anasayfa', '“', 'Devamı', '●', '•', '—', '6', '”', '22', '74', '→', '–', '✔', '8', '6', '—', '”', '•', '7', '😊', '√', '•', '😀', '18', 'Devamı', '16', 'PDF', '√', '·', '😀', 'Devamı', 'Cevap', '·', '»', '7', '→', '22', '”', 'Devamı', '♦', 'Download', '•', '27', '29', '10', '→', '”', '😀', '●', '•', '•', '✔', 'PDF', '2', 'Devamı', 'Selamlar', '»', '·', '…', '22', '“']",spam
14,"['✓', '■', '15', '36', '»', 'Teşekkürler', '·', 'Download', '→', '■', '»', '→', '·', '—', 'PDF', '27', '🙂', '”', 'Devamı', '√', '→', '—', '29', '74', '82', '♥', '21', 'Neden', '12', '●', '14', '14', '■', '√', '16', 'Mevlana', 'Devamı', '22', '“', '18', '•', '”', 'Devamı', '·', '→', '“', '22', 'Teşekkürler', '21', '§', '14', '43', '»', 'Devamı', '♦', '►', '♦', '72', '←', '♥', '29', '16', '”', '4', '–', 'Download', '●', '17', '•', '7', '›', '»', '✔', '7', 'PDF', '·', '22', '27', 'Devamı', 'Devamı', '•', '√', '→', '←', '19', '10', '·', 'Yoksa']",spam
15,"['»', '●', '19', 'Devamı', '9', 'Selamlar', '–', '✓', '•', '3', '23', '”', 'Mevlana', '[UNK]', '”', '”', '→', '5', '”', '”', 'Download', '●', '·', '17', '»', '•', 'Ayrıca', '✔', '9', '29', 'Devamı', '»', 'Devamı', 'Download', '73', '●', 'Etiketler', '✔', '■']",spam
16,"['Devamı', 'Devamı', '5', '•', 'PDF', '→', 'PDF', '✔', '•', '→', '•', '[UNK]', '»', '→', '8', '■', '73', '→']",ham
17,"['13', 'Mevlana', '→', '6', '·', 'PDF', '13', '♥', '12', 'Devamı', '»', '😀', '15', 'Devamı', '“', '■', '21', 'Devamı', '·', 'Download', '”', 'Mevlana', '24', '●', 'Devamı', '🙂', 'Haberler', '13', '…', 'Download', '41', '13', '27', '…', 'Home', '22', '■', '3', '»', '[UNK]', '19', '♦', '»', 'Bu', 'Download', '♦', '4', '»', 'Download', '23', '»', '✔', '»', '—', 'Yoksa', '“', '9', 'Download', '”', '·', '8', '—', 'PDF', 'Devamı', '—', 'Devamı', '😀', '28', '·', 'PDF', '73', '”', '21', 'Home', '·', 'PDF', 'Haberler', '»', '•', '8', '—', '»', '41', '»', '”', 'Devamı', '22', 'PDF', '73', '•', 'Devamı', '”', '■', 'Devamı', 'PDF', '—', 'Mevlana', '17', '69', '9', 'PDF', '43', '♦', '■', '43', 'Devamı', '4', 'Download', '›', '—', '■', '“', '6', '—', '14', 'Neden', '18', '»', '•', '21', '”', '→', '•', 'Devamı', 'n', 'n', 'Download', 'Download', '🙂', '😀', '·', '9', 'PDF', 'Bu', '72', 'Etiketler', '😉', '•', '►', '»', '»', '→', '14', '”', '29', '·', '·', '»', 'Devamı', 'Download', '•', '»', '2']",spam
18,"['”', '→', '—', '🙂', 'PDF', '9', '—', 'PDF', '»', '›', '—', '19', '•', 'Devamı', '12', '•', '←', '–', '·', '“', '”', 'Home', '›', '…', '29', '82', '—', '“', '”', '43', '•', '😀', '»', '19', '»', 'Bu', '[UNK]', 'Cevap', '→', '…', '5', '←', '36', '–', '”', '73', '–', '√', '😀', '21', '15', '•', 'Devamı', '7', '›', '13', '·', '♦', '2017', '18', '”', 'Devamı', '←', '—', '5', 'PDF', '·', 'Download', 'PDF', '■', 'Devamı', '»', '”', 'Download', 'Devamı', '→', 'Download', '🙂', '6', '8', '»', '73', '·', '•', '✔', '§', '19', '·', '2', '29', '39', '·', '←', '21', '✔', '—', '»', 'Cevap', '→', 'Devamı', 'Haberler', '15', '—', '18', '🙂', '72', '🙂', '»', '13', '16', '14']",ham
19,"['”', '7', '2017', '″', '►', '»', 'Home', '22', '●', '•', '“', 'Devamı', '»', '2', '”', '”', 'PDF', '17', '›', '”', '→', '✓', 'Download', '11', '23', '·', '74', '”', '22', '♥', '16', 'n', 'PDF', 'Download', 'n', '😀', '13', '√', '”', '»', '22', '26', 'Devamı', '😀', '»', 'Bu', '►', '19', '43', '›', 'Devamı', '14', '—', '2', '→', '2', 'Download', 'PDF', '29', 'Etiketler', 'Devamı', '·', '•', '2', '41', 'PDF', '11', '🙂', '»', '27', '–', '—', '·', '3', '17', '😉', '→', '✔', '28', '😊', '»', '♦', '73', '11', 'n', '•', '😊', '»', 'Anasayfa', '»', '§', '•']",ham
20,"['»', '16', 'Haberler', '–', '[UNK]', 'Download', '»', '”', '1', '»', '22', '»', '″', '•', 'Download', '–', 'Devamı', 'PDF', '43', '·', '22', '28', '♦', '●', '►', '16', '19', '39', '″', '25', '»', '→', '21', '36', '●', '”', '→', 'Cevapları', '10', 'Devamı', '←', '·', '”', 'PDF', '·', '•', '17', '😀', '36', '§', '1', '·']",ham
21,"['12', '23', 'PDF']",ham
22,"['·', '·', '[UNK]', '·']",ham
23,"['23', '←', 'Download', 'PDF', '22', '—', '§', '♦', 'Download', '·', '»', 'Devamı', '28', '43', '8', 'Devamı', 'Download', 'Download', '29', '•', 'İzlediğiniz', '»', '…', '→', '🙂', '4', '19', '25', 'Devamı', 'Devamı', '🙂', '82', '»', '“', '→', '·', 'Haberler', '·', '4', '15', 'Haberler', '19', '•', '•', '9', '→', '73', '42', '2', '»', 'Devamı', '🙂', '»', '28', '12', '—', '”', '8', 'Mevlana', '✔', '•', '•', '”', 'Devamı', '√', '•', '9', 'Download', '21', '82', '22', '8', '→', '4', '✔', '5', '41', 'PDF', 'Devamı', '26', '“', '“', '●', '→', '10', '—', '»', '9', '→', '→', 'Anasayfa', '36', '“', '•', '82', '”', '16', '•', '·', '•', '5']",spam
24,"['►', '—', '§', '•', '10', '14', '69', 'Ayrıca', '§', '…', '•', '”', '·', 'Devamı', '21', '—', '”', '•', '›', '♦', '»', '21', '»', 'Devamı', '—', '21', '→', '13', '»', '·', 'PDF', 'Devamı', '19', '36', '—', '✔', '»', '36', 'Devamı', '·', 'Devamı', '9', '7', '»', '•', '·', '·', 'Devamı', '•', '…', '—', '→', '😀', '15', '›', '—', '•', '14', '36', '»', '→', '“', 'PDF', '2017', 'Devamı', 'Download', '●', '♥', '73', '—', '§', '→', '»', '›', '9', 'Devamı', '›', 'Devamı', 'PDF', '19', '✔']",ham
25,"['»', '→', 'Anasayfa', 'Neden', 'Devamı', '■', '»', '5', '[UNK]', 'PDF', '…', '»', '2017', 'Download', '»', '»', '21', 'Home', '→', '✔', 'Devamı', 'Ayrıca', '6', 'Devamı', '22', 'Devamı', '♥', '—', 'PDF', '•', '”', '19', '→', 'Devamı', '74', '18', '25', '←', '●', '»', '13', '69', '√', 'İzlediğiniz', '»', '27', '•', '–', '•', '18', 'Devamı', '■', '»', 'Devamı', '–', '4', '43', '■', '♦', '🙂', '”', 'İzlediğiniz', '36', '·', '27', '•', '»', 'Devamı', '26', 'Download', '22', '23', 'Cevap', '22', '—', 'PDF', '•', '…', '✔', 'Devamı', '—', '♥', '·', '»', '61', 'Download', '›', '17', 'Devamı', 'Devamı', '🙂', '7', 'PDF', '♥', '♦', 'Devamı', '41', '😀', '—', '73', '26', '►', '22', '—', '✔', '■', '”', '—', 'PDF', '3', '—', 'Bu', '♦', 'Devamı', '■', '»', '2', '✔', '✔', 'Bu', '9', 'PDF', '✔', 'PDF', '–', 'Download', '36', '27', '–', '•', 'Devamı', '72', '—', '·', '–', 'Devamı', 'Devamı', '•', '·', '1', 'Devamı', '4', '…', 'PDF', '–', '√', '›', '9', '“', '73', 'Devamı', '12', '✓', '•', '😉', '5', '»', '22', '”', '✔', '♦', '14', 'Devamı', 'Download', '»', '5', '1', '§', '”', '21', '”', '6', '●', '2', '16', 'Devamı', '4', '←', '→', '“', 'Cevapları']",spam
26,"['•', '41', '8', '13', '27', '73', 'PDF']",spam
27,"['»', '—', '9', 'Devamı', '26', '🙂', 'Teşekkürler', '“', 'Devamı', '28', 'Devamı', '●', '–', '·', 'Yoksa', 'PDF', 'Haberler', '😊', 'Haberler', '—', '74', 'Download', '”', 'Ayrıca', '“', '🙂', 'Cevap', '13', '–', 'Devamı', '—', '17', '28', 'PDF', '28', 'PDF', '»', 'Devamı', 'Devamı', '2017', '—', 'Download', '14', '”', '”', '–', '■', '→', 'Cevap', 'Devamı', '21', '”', 'PDF', 'Ayrıca', '»', '•', 'Yoksa', 'Devamı', '18', '·', '√', '8', 'Devamı', 'Download', '•', '—', '—', '43', '😀', '●', '3', '→', '26', '→', '“', '43', '27', '19', 'Haberler', 'Home', 'Yoksa', '←', '3', 'Download', '28', '21', '→', '»', '7', 'Devamı', 'Download', '360', '”', '—', '►', 'Devamı', '»', '72', '22', '69', '•', '10', '»', '—', '4', '73', '🙂', '…', '14', 'Devamı', '→', '15', '17', 'Ayrıca', '·', '🙂', 'Haberler', '43', 'PDF', '→', '»', '16', '6', '29', '73', '😉', 'Download', '”', '■', '19', 'Yoksa', 'Download', '→', '39', '•', '7', '16', '→', '»', '1', '23', '■', '36']",ham
28,"['Download', '…', '4', '•', '•', '26', '“', '”', '”', '9', '72', '8', '→', '►', '27', '”', '”', '13', '15', '😊', '→', 'Neden', '—', 'Neden', 'Devamı', '►', '—', '11', '•', 'Devamı', 'Mevlana', '←', '18', '24', '→', '←', '19', '•', '11', '—', '8', 'Cevap', '♦', '»', 'Download', '■', '§', '72', 'Devamı', '→', '24', '16', 'PDF', '—', '4', '—', '13', '·', '←', '♦', '■', '·', '22', '·', '•', '74', '—', 'Devamı', '•', '•', '16', 'Devamı', '74', '14', '74', '✔', '”', '73', 'Devamı', 'Devamı', 'PDF', 'Teşekkürler', 'Devamı', '😀', '”', 'Devamı', '6', '19', 'PDF', '26', 'Ayrıca', '14', '→', '13', '24', '2017', 'Download', 'Download', '•', '»', '”', 'Download', 'PDF', '16', 'Devamı', '18', 'Download', 'Devamı', 'Download', '●', '→', '·', '»', 'PDF', '27', 'PDF', 'PDF', '74', '•', '»', '»', '·', '1', '😊', 'Etiketler', 'Devamı', '36', '17', 'Anasayfa', '■', 'PDF', '72', '»', 'Devamı', '←', '»', '■', '[UNK]', '√', '”', 'Devamı', '←', '28', 'Download', 'Cevapları', '♦', 'Selamlar', '•', 'Neden', 'Devamı', '←']",ham
29,"['»', '”', 'Devamı', '√', '”', '✔', '”', 'Devamı', '•', '36', 'Devamı', '»', '“', '28', 'PDF', 'Download', '🙂', '←', '–', 'Cevap', '”', '4', '»', '»', 'PDF', '“', '♥', '·', 'Bu', '♥', '·', '2', '·', 'Teşekkürler', '●', '»', '21', '😀', '»', '—', 'Teşekkürler', '15', 'Devamı', '·', '♥', '36', '✔', '•', 'PDF', 'Bu', 'Devamı', 'Download', 'Cevap', 'Devamı', 'PDF', '•', '1', 'Download', '14', '›', '»', '15', 'Download', '●', 'n', '•', '→', '14', '😀', '•', 'Download', '39', '😀', '√', '69', '6', '18', '14', '–', '[UNK]', '•', '·', '»', '•', 'PDF', '»', '·', '·', '→', '—', '😀', '—', '18', '28', 'Download', '✔', '5', '🙂', '✓', 'Anasayfa', 'Home', '■', '4', '😉', '—', '18', '»', '73', 'Anasayfa', '→', '21', '😀', '25', 'Bu', '11', 'Mevlana', 'Neden', '•', '—', 'Devamı', '74', '”', '…', '[UNK]', '41', '●', '→', 'Devamı', '“', 'Devamı', '2', '15', '″', '26', 'Download', 'Cevapları', 'Devamı', 'Download', '3', '24', '←', '•', '“', '»', 'Download', 'n', '13', 'Ayrıca', 'Devamı', '17', '36', 'Haberler', '23', '●', '»', '←', '23', 'Download', '→', '•', 'İzlediğiniz', 'Devamı', '♥', '►', '●', '26', 'Cevap', '·', 'İzlediğiniz', '•', 'Home', '”', '4', '→', '”', '16', '“', '♦', 'Mevlana', '»', '72', '—', 'Teşekkürler', '→', '■', '8', '4', '→', '22', '·', 'Devamı', '11', '14', 'Yoksa', 'PDF', 'İzlediğiniz', '”', '•', '21', '21', '→', '🙂', '27', 'Devamı', '73', '😀', '”', '19', 'Devamı', '›', '1', '–', '😀', 'Selamlar', '•', 'Devamı', 'Download', '2017', '♥', 'Etiketler', '29', '73', '■', '9', 'PDF', '14', '26', 'Devamı', 'PDF', 'Download', '»', '🙂', 'PDF', '←', '9', '»', '√', '2', 'Anasayfa', '●', '22', 'İzlediğiniz', '13', '26', 'PDF', 'Devamı', '″', '»', '·', '…', '·', 'PDF', '16', '8', '8', 'Haberler', '”', 'Devamı', 'PDF', '24', '→', '8', '27', '”', 'Yoksa', '4', '21']",spam
